File Path,CPU Usage
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_271_100/VexiiRiscv_271_100_build/log/floorplan.log,1345
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_42_100/VexiiRiscv_42_100_build/log/chipfinish.log,4312
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_42_100/VexiiRiscv_42_100_build/log/route.log,74221
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_42_100/VexiiRiscv_42_100_build/log/placement.log,14890
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_42_100/VexiiRiscv_42_100_build/log/cts.log,40816
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_42_100/VexiiRiscv_42_100_build/log/read_rtl.log,245
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_42_100/VexiiRiscv_42_100_build/log/floorplan.log,3591
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_258_100/VexiiRiscv_258_100_build/log/chipfinish.log,580
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_258_100/VexiiRiscv_258_100_build/log/route.log,3639
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_258_100/VexiiRiscv_258_100_build/log/placement.log,3051
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_258_100/VexiiRiscv_258_100_build/log/cts.log,2847
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_258_100/VexiiRiscv_258_100_build/log/read_rtl.log,22
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_258_100/VexiiRiscv_258_100_build/log/floorplan.log,678
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_207_100/VexiiRiscv_207_100_build/log/chipfinish.log,664
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_207_100/VexiiRiscv_207_100_build/log/route.log,3712
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_207_100/VexiiRiscv_207_100_build/log/placement.log,3786
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_207_100/VexiiRiscv_207_100_build/log/cts.log,3550
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_207_100/VexiiRiscv_207_100_build/log/read_rtl.log,20
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_207_100/VexiiRiscv_207_100_build/log/floorplan.log,762
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_85_100/VexiiRiscv_85_100_build/log/chipfinish.log,690
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_85_100/VexiiRiscv_85_100_build/log/route.log,4388
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_85_100/VexiiRiscv_85_100_build/log/placement.log,3977
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_85_100/VexiiRiscv_85_100_build/log/cts.log,3892
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_85_100/VexiiRiscv_85_100_build/log/read_rtl.log,24
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_85_100/VexiiRiscv_85_100_build/log/floorplan.log,881
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_131_100/VexiiRiscv_131_100_build/log/chipfinish.log,678
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_131_100/VexiiRiscv_131_100_build/log/route.log,3666
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_131_100/VexiiRiscv_131_100_build/log/placement.log,3402
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_131_100/VexiiRiscv_131_100_build/log/cts.log,3069
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_131_100/VexiiRiscv_131_100_build/log/read_rtl.log,22
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_131_100/VexiiRiscv_131_100_build/log/floorplan.log,767
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_129_100/VexiiRiscv_129_100_build/log/chipfinish.log,1541
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_129_100/VexiiRiscv_129_100_build/log/route.log,9603
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_129_100/VexiiRiscv_129_100_build/log/placement.log,7331
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_129_100/VexiiRiscv_129_100_build/log/cts.log,7794
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_129_100/VexiiRiscv_129_100_build/log/read_rtl.log,28
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_129_100/VexiiRiscv_129_100_build/log/floorplan.log,1576
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_317_100/VexiiRiscv_317_100_build/log/chipfinish.log,1643
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_317_100/VexiiRiscv_317_100_build/log/route.log,10114
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_317_100/VexiiRiscv_317_100_build/log/placement.log,6744
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_317_100/VexiiRiscv_317_100_build/log/cts.log,8254
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_317_100/VexiiRiscv_317_100_build/log/read_rtl.log,95
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_317_100/VexiiRiscv_317_100_build/log/floorplan.log,1872
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_69_100/VexiiRiscv_69_100_build/log/chipfinish.log,9569
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_69_100/VexiiRiscv_69_100_build/log/route.log,57515
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_69_100/VexiiRiscv_69_100_build/log/placement.log,31536
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_69_100/VexiiRiscv_69_100_build/log/cts.log,33101
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_69_100/VexiiRiscv_69_100_build/log/read_rtl.log,288
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_69_100/VexiiRiscv_69_100_build/log/floorplan.log,7030
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_385_100/VexiiRiscv_385_100_build/log/chipfinish.log,1953
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_385_100/VexiiRiscv_385_100_build/log/route.log,11848
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_385_100/VexiiRiscv_385_100_build/log/placement.log,8482
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_385_100/VexiiRiscv_385_100_build/log/cts.log,8643
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_385_100/VexiiRiscv_385_100_build/log/read_rtl.log,111
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_385_100/VexiiRiscv_385_100_build/log/floorplan.log,1892
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_337_100/VexiiRiscv_337_100_build/log/chipfinish.log,4025
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_337_100/VexiiRiscv_337_100_build/log/route.log,25415
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_337_100/VexiiRiscv_337_100_build/log/placement.log,16325
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_337_100/VexiiRiscv_337_100_build/log/cts.log,18169
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_337_100/VexiiRiscv_337_100_build/log/read_rtl.log,123
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_337_100/VexiiRiscv_337_100_build/log/floorplan.log,3549
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_269_100/VexiiRiscv_269_100_build/log/chipfinish.log,2769
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_269_100/VexiiRiscv_269_100_build/log/route.log,27607
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_269_100/VexiiRiscv_269_100_build/log/placement.log,10611
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_269_100/VexiiRiscv_269_100_build/log/cts.log,15483
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_269_100/VexiiRiscv_269_100_build/log/read_rtl.log,36
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_269_100/VexiiRiscv_269_100_build/log/floorplan.log,2203
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_300_100/VexiiRiscv_300_100_build/log/chipfinish.log,2580
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_300_100/VexiiRiscv_300_100_build/log/route.log,21031
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_300_100/VexiiRiscv_300_100_build/log/placement.log,10616
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_300_100/VexiiRiscv_300_100_build/log/cts.log,23523
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_300_100/VexiiRiscv_300_100_build/log/read_rtl.log,227
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_300_100/VexiiRiscv_300_100_build/log/floorplan.log,2697
